municipal,acs_year,med_c_r
Belchertown,2010-14,876.0
Bellingham,2010-14,1219.0
Belmont,2010-14,1662.0
Berkley,2010-14,852.0
Berlin,2010-14,1250.0
Bernardston,2010-14,975.0
Beverly,2010-14,1068.0
Billerica,2010-14,1306.0
Blackstone,2010-14,930.0
Blandford,2010-14,821.0
Bolton,2010-14,950.0
Boston,2010-14,1298.0
Bourne,2010-14,959.0
Boxborough,2010-14,926.0
Boxford,2010-14,775.0
Boylston,2010-14,1148.0
Braintree,2010-14,1324.0
Brewster,2010-14,1039.0
Bridgewater,2010-14,1193.0
Brimfield,2010-14,683.0
Brockton,2010-14,1039.0
Brookfield,2010-14,856.0
Brookline,2010-14,1848.0
Buckland,2010-14,867.0
Burlington,2010-14,1651.0
Cambridge,2010-14,1656.0
Canton,2010-14,1446.0
Carlisle,2010-14,2001.0
Carver,2010-14,1338.0
Charlemont,2010-14,793.0
Charlton,2010-14,887.0
Chatham,2010-14,972.0
Chelmsford,2010-14,1113.0
Chelsea,2010-14,1165.0
Cheshire,2010-14,733.0
Chester,2010-14,883.0
Chesterfield,2010-14,950.0
Chicopee,2010-14,814.0
Chilmark,2010-14,1150.0
Clarksburg,2010-14,656.0
Clinton,2010-14,1001.0
Cohasset,2010-14,1271.0
Colrain,2010-14,940.0
Concord,2010-14,1573.0
Conway,2010-14,1054.0
Cummington,2010-14,825.0
Dalton,2010-14,817.0
Danvers,2010-14,1282.0
Dartmouth,2010-14,960.0
Dedham,2010-14,1479.0
Deerfield,2010-14,902.0
Dennis,2010-14,1038.0
Dighton,2010-14,971.0
Douglas,2010-14,1082.0
Dover,2010-14,1485.0
Dracut,2010-14,1181.0
Dudley,2010-14,886.0
Dunstable,2010-14,1250.0
Duxbury,2010-14,1393.0
East Bridgewater,2010-14,990.0
East Brookfield,2010-14,939.0
East Longmeadow,2010-14,695.0
Eastham,2010-14,1168.0
Easthampton,2010-14,852.0
Easton,2010-14,1178.0
Edgartown,2010-14,1628.0
Egremont,2010-14,881.0
Erving,2010-14,831.0
Essex,2010-14,1210.0
Everett,2010-14,1210.0
Fairhaven,2010-14,861.0
Fall River,2010-14,722.0
Falmouth,2010-14,1122.0
Fitchburg,2010-14,860.0
Florida,2010-14,1034.0
Foxborough,2010-14,1225.0
Framingham,2010-14,1147.0
Franklin,2010-14,1087.0
Freetown,2010-14,1121.0
Gardner,2010-14,738.0
Aquinnah,2010-14,850.0
Georgetown,2010-14,1292.0
Gill,2010-14,645.0
Gloucester,2010-14,975.0
Goshen,2010-14,1279.0
Gosnold,2010-14,0.0
Grafton,2010-14,993.0
Granby,2010-14,832.0
Granville,2010-14,933.0
Great Barrington,2010-14,957.0
Greenfield,2010-14,806.0
Groton,2010-14,1214.0
Groveland,2010-14,1115.0
Hadley,2010-14,988.0
Halifax,2010-14,1582.0
Hamilton,2010-14,1132.0
Hampden,2010-14,773.0
Hancock,2010-14,907.0
Hanover,2010-14,1106.0
Hanson,2010-14,1064.0
Hardwick,2010-14,735.0
Harvard,2010-14,1522.0
Harwich,2010-14,1161.0
Hatfield,2010-14,942.0
Haverhill,2010-14,1042.0
Hawley,2010-14,871.0
Heath,2010-14,960.0
Hingham,2010-14,1900.0
Hinsdale,2010-14,855.0
Holbrook,2010-14,1134.0
Holden,2010-14,1018.0
Holland,2010-14,1043.0
Holliston,2010-14,971.0
Holyoke,2010-14,697.0
Hopedale,2010-14,1089.0
Hopkinton,2010-14,1363.0
Hubbardston,2010-14,1063.0
Hudson,2010-14,1151.0
Hull,2010-14,1264.0
Huntington,2010-14,681.0
Ipswich,2010-14,1034.0
Kingston,2010-14,1185.0
Lakeville,2010-14,1139.0
Lancaster,2010-14,970.0
Lanesborough,2010-14,740.0
Lawrence,2010-14,998.0
Lee,2010-14,761.0
Leicester,2010-14,787.0
Lenox,2010-14,754.0
Leominster,2010-14,902.0
Leverett,2010-14,961.0
Lexington,2010-14,1714.0
Leyden,2010-14,545.0
Lincoln,2010-14,2001.0
Littleton,2010-14,1294.0
Longmeadow,2010-14,1396.0
Lowell,2010-14,1005.0
Ludlow,2010-14,870.0
Lunenburg,2010-14,1065.0
Lynn,2010-14,987.0
Lynnfield,2010-14,1246.0
Malden,2010-14,1264.0
Manchester,2010-14,1321.0
Mansfield,2010-14,1134.0
Marblehead,2010-14,1217.0
Marion,2010-14,967.0
Marlborough,2010-14,1142.0
Marshfield,2010-14,1217.0
Mashpee,2010-14,1331.0
Mattapoisett,2010-14,1082.0
Maynard,2010-14,1071.0
Medfield,2010-14,968.0
Medford,2010-14,1464.0
Medway,2010-14,827.0
Melrose,2010-14,1118.0
Mendon,2010-14,1213.0
Merrimac,2010-14,1200.0
Methuen,2010-14,1026.0
Middleborough,2010-14,1063.0
Middlefield,2010-14,671.0
Middleton,2010-14,1655.0
Milford,2010-14,1113.0
Millbury,2010-14,910.0
Millis,2010-14,1289.0
Millville,2010-14,1239.0
Milton,2010-14,1299.0
Monroe,2010-14,800.0
Monson,2010-14,872.0
Montague,2010-14,768.0
Monterey,2010-14,869.0
Montgomery,2010-14,1000.0
Mount Washington,2010-14,0.0
Nahant,2010-14,1144.0
Nantucket,2010-14,1742.0
Natick,2010-14,1237.0
Needham,2010-14,1432.0
New Ashford,2010-14,933.0
New Bedford,2010-14,769.0
New Braintree,2010-14,875.0
New Marlborough,2010-14,1159.0
