FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
210,Monsignor Reynolds Way,5715100,5,2,0,2011,SLM,62.3566643074,62.3566643125286
211,Monsignor Reynolds Way,5671000,5,2,0,2011,SLM,63.1552485167,63.1552485167313
212,Albany Street,4567800,5,2,0,2012,BL,77.0140638001,77.0140638027018
213,West Dedham Street,5303200,5,2,0,2011,BLSL,61.6725784248,61.6725784220036
214,Washington Street,5133000,3,2,0,2011,SLM,40.4895933717,40.4895933743218
215,Washington Street,5671900,3,2,0,2011,SLM,31.2901280684,31.2901280683534
216,Talbot Avenue,4850900,5,2,0,2010,BL,96.0227385934,96.0227385996761
217,Columbia Road,5732600,5,2,1,2010,BL,232.286284698,232.286284695294
218,Columbia Road,5161300,5,2,1,2010,SLM,67.030000228,67.0300002313108
219,Albany Street,4575600,5,2,0,2012,BL,77.7801743834,77.7801743778024
220,Kneeland Street,4493600,3,2,0,2017,SBLBL,57.6648380971,57.6648380958503
221,Boylston Street,4481400,3,2,0,2020,SBL,113.724308968,113.724308961411
222,St James Avenue,5383100,3,2,0,2015,SLM,55.4006544583,55.4006544652942
223,Main Street,5232200,5,2,0,2011,BL,24.9099875761,24.9099875741156
224,Main Street,4407900,5,2,0,2011,BL,58.061326808,58.0613268066884
225,Dorchester Avenue,5744400,3,2,0,2010,SLM,105.503637599,105.503637599293
226,Dorchester Avenue,4969500,3,2,0,2010,SLM,124.353784624,124.353784619813
227,Dorchester Avenue,4922200,3,2,0,2010,SLM,34.0697380187,34.0697380186524
228,Dorchester Avenue,5198800,3,2,0,2010,SLM,57.0670052193,57.067005222937
229,Dorchester Avenue,5192700,3,2,0,2011,SLM,32.324310501,32.3243105023201
230,Dorchester Avenue,5192800,3,2,0,2011,SLM,26.0949716068,26.0949716054555
231,Ashmont Street,4889600,5,2,0,2013,SLM,87.6165898183,87.6165898265326
232,Dorchester Avenue,4842300,3,2,0,2011,SLM,56.2540482465,56.2540482465349
233,Dorchester Avenue,5152400,3,2,0,2011,SLM,58.7651501225,58.7651501261195
234,Geneva Avenue,4779200,5,2,0,2016,SLM,52.0785394481,52.0785394562241
235,Dorchester Avenue,5686900,3,2,0,2011,SLM,42.6790550825,42.6790550861176
236,Adams Street,5186900,5,2,0,2013,SLM,81.2775677569,81.2775677581674
237,Adams Street,5186800,5,2,0,2013,SLM,83.0062102221,83.0062102208489
238,Dudley Street,5444900,5,2,0,2021,SBL,59.4573907248,59.4573907337565
239,Gallivan Boulevard,5201200,2,1,0,2020,BL,40.2312866368,40.2312866368124
240,Quincy Street,4713500,5,2,0,2019,SLM,105.498184558,105.498184557304
241,Marginal Road,5588400,5,2,0,2019,BL,68.1408826029,68.1408825960529
242,Washington Street,5328000,5,2,0, ,SLM,34.642084603,34.6420845971544
243,Washington Street,5724100,5,2,0, ,SLM,84.612764047,84.6127640390144
244,Washington Street,5724300,5,2,0, ,SLM,75.242860097,75.2428601017914
245,Washington Street,5725100,5,2,0, ,BL,71.4092900302,71.4092900265174
246,Washington Street,4857600,5,2,0, ,BL,58.8129020109,58.8129020129767
247,Charles River Dam,6273400,2,3,1,2019,SBL,28.4158563478,28.4158563451789
248,Shawmut Avenue,4510800,5,2,0,2020,SBL,103.918704774,103.918704770046
249,Tremont Street,4481300,3,2,0,2020,SBL,118.262667299,118.262667305821
250,Washington Street,5812601,3,2,0,2020,SBL,11.8538642903,11.8538642885352
251,Arlington Street,5272800,3,2,0,2020,SBL,53.2240690701,53.224069067578
252,Arlington Street,5272700,3,2,0,2020,SBL,42.5029707577,42.5029707567292
253,Columbia Road,6284700,5,2,1,2010,SLM,42.0276246801,42.0276246728132
254,Columbia Road,5764300,5,2,1,2010,SLM,47.663254121,47.6632541232232
255,Columbia Road,6242400,5,2,1,2010,BL,72.307891915,72.3078919217288
256,Columbia Road,5242000,5,2,1,2010,SLM,107.405156592,107.405184694719
257,Washington Street,4519400,3,2,0,2011,SLM,99.6727364961,99.6727364903596
258,Boylston Street,5650400,3,2,0,2020,SBL,56.2525879603,56.2525879750019
259,Kneeland Street,5760601,3,2,0,2017,SBL,5.09359414312,5.09359415031028
260,Washington Street,5366400,0,2,0,0,PED,7.66711372133,7.66711372133466
261,Main Street,5792200,5,2,0,2012,BL,57.1330557596,57.1330557678163
262,Main Street,5839200,5,2,0,2012,BL,53.5601641608,53.5601641675807
263,City Square,5581600,5,2,0,2012,BL,28.7215017267,28.7215017203379
264,Main Street,5521800,5,2,0,2011,BL,70.8956467029,70.8956467026903
265,Main Street,5231800,5,2,0,2011,BL,31.7271781685,31.7271781685166
266,Adams Street,5630800,5,2,0,2017,BFBL,92.1050302481,92.1050302508164
267,Adams Street,4970300,5,2,0,2017,BFBL,160.083943391,160.083943385229
268,Adams Street,5498401,5,2,0,2017,BL,32.8263455118,32.8263455200421
269,Ashmont Street,5514100,5,2,0,2013,SLM,59.5404341843,59.5404341780807
270,Adams Street,5687300,5,2,0,2013,SLM,23.773711511,23.7737115109977
271,Freeport Street,4752500,3,2,0,2013,BL,50.8933074159,50.8933074093979
272,Dorchester Avenue,5128200,3,2,0,2011,BL,99.8866543503,99.8866543429261
273,Dorchester Avenue,5128100,3,2,0,2011,BL,108.170792499,108.170792500627
274,Dorchester Avenue,5128400,3,2,0,2011,BL,22.2697419443,22.2697419439472
275,Dorchester Avenue,4644000,3,2,0,2011,BL,96.9342801787,96.9342801787041
276,Dorchester Avenue,4654900,3,2,0,2011,BL,96.5675623534,96.5675623533935
277,Dorchester Avenue,4663200,3,2,0,2011,BL,46.5716154025,46.5716154022104
278,Dorchester Avenue,4638300,3,2,0,2011,BL,99.3903388977,99.3903388976019
279,Commercial Street,5150100,5,2,0,2017,SBL,58.0826694195,58.0826694210329
280,Commercial Street,5150000,5,2,0,2017,SBL,82.5532796672,82.5532796605858
281,D Street,5286000,3,5,0,2013,BLSL,82.1360593638,82.1360593637983
282,Bennington Street,5619700,5,2,1,2008,SLM,121.34004327,121.340043262553
283,Dorchester Avenue,4617000,3,2,0,2011,SLM,57.3803319377,57.3803319337304
284,Dorchester Avenue,5250000,3,2,0,2011,BL,250.868073398,250.868073402121
285,D Street,4585200,5,2,0,2013,BLSL,176.848569483,176.848569477011
286,D Street,4570100,5,2,0,2013,BLSL,46.8868924229,46.8868924201383
287,Dorchester Avenue,6266600,3,2,0,2011,SLM,68.5617888904,68.5617888867298
288,A Street,4535100,5,2,0,2013,BL,39.3074198364,39.3074198440016
289,Surface Artery,45235900,3,2,0,2011,BL,15.0337224343,15.0337224342601
290,Devonshire Street,5650800,5,2,0,2012,SLM,145.078423946,145.078423943775
291,Atlantic Avenue,5433300,3,2,0,2011,BL,96.2494073917,96.2494073926526
292,High Street,5349600,5,2,0,2011,BL,75.9351253818,75.935125379872
293,Purchase Street,45235000,3,2,0,2011,BL,15.619399278,15.619399288186
294,High Street,5326000,3,2,0,2011,BL,116.131910993,116.131911000436
295,Milk Street,5462500,5,2,0,2011,BL,49.1951507002,49.1951506923139
296,Congress Street,5237800,3,2,0,2016,SBL,141.333655111,141.333655110625
297,Kilby Street,5805600,0,2,0,2011,BL,25.036845428,25.0369024547446
298,Milk Street,5462600,5,2,0,2011,BL,66.2199527049,66.2199527045232
299,North Washington Street,45225600,3,2,0,2014,SLM,35.6423000911,35.6423000916907
300,North Washington Street,45225800,3,2,0,2014,BL,88.967852226,88.9678522292896
301,Cross Street,5806000,3,2,0,2014,SLM,68.08213989,68.0821398947369
302,Cross Street,45227200,3,2,0,2014,SLM,22.8922683291,22.892268329099
303,Commercial Street,5149900,5,2,0,2017,SLM,80.4020046952,80.4020047026601
304,Salem Street,5765000,0,2,0,2013,SLM,31.3262374374,31.3262374405469
305,Ashmont Street,4856800,5,2,0,2013,SLM,265.260654438,265.260654437474
306,Neponset Avenue,4814800,5,2,0,2012,BLSL,73.4426016185,73.4426016220403
307,Freeport Street,4770200,3,2,0,2013,SLM,148.691202789,148.691202793063
308,Old Colony Avenue,5203500,3,3,1,2016,BFBL,16.8987026735,16.8987026734894
309,A Street,5625700,5,2,0,2013,SLM,49.2484586949,49.24845869135
310,Pearl Street,45234200,5,2,0,2011,SLM,66.3382501658,66.3382501673476
311,Purchase Street,5482500,3,2,0,2011,BL,132.208610749,132.208610758812
312,Purchase Street,45232200,3,2,0,2011,BL,173.629139431,173.629139429106
313,John F. Fitzgerald Surface Road,5586400,3,2,0,2011,BL,33.1588540617,33.1588540600311
314,Maverick Street,5157000,5,2,0,2015,BL,127.775067548,127.77506755644
315,Veterans Of Foreign Wars Parkway,4989300,2,3,1,2013,SLM,83.4413673485,83.4413673537644
316,Veterans Of Foreign Wars Parkway,6222400,2,3,1,2013,BL,299.295960188,299.295960184118
317,Washington Street,5326400,3,2,0,2020,SBL,77.9024169906,77.9024169902705
318,Washington Street,5588900,3,2,0,2020,SBL,5.6763771792,5.67637717765218
319,Washington Street,5326700,3,2,0,2020,BL,23.4564719562,23.4564719574271
320,Music Hall Place,5540500,0,0,0, ,PED,41.7998780336,41.7998780336236
321,Cambridge Street,46179800,3,2,1,2022,SBL,36.961581938,36.9615819330013
322,Seaport Boulevard,5267400,3,5,0,2017,SLM,109.240451485,109.240451483613
323,State Street,5330300,3,2,0,2020,SBL,13.5936854453,13.5936854453233
324,University Of Massachusetts Access Road,6287300,0,B,0,2019,BL,70.6080567396,70.6080567544025
325,Taylor Street,5401700,0,2,0, ,SUP,160.665367364,160.665367368492
326,D Street,5665300,3,2,1,2013,BL,136.627522987,136.627522986948
327,Northern Avenue,45263800,3,5,0,2017,SLM,59.7615560612,59.7615560676561
328,Northern Avenue,45263901,5,5,0,2017,SLM,65.8343618524,65.8343618506322
329,Meridian Street,4411300,3,2,0,2013,BLSL,86.9635551607,86.9635551645339
330,Meridian Street,4404100,3,2,0,2013,BLSL,51.1000075205,51.1000075170139
331,Marginal Street,4435500,0,5,0,2015,SLM,172.854138941,172.8541389437
332,Bennington Street,6267500,5,2,1,2008,SLM,267.300964786,267.300964792503
